Case,Text,Golden_Labels,Qwen3-32B_Few,Qwen3-235B_Few,Gemma_Few,Qwen3-32B_Zero,Qwen3-235B_Zero,Gemma_Zero
81,成都二环内土著，问就是没优越感，我也没什么社交圈子，有几个朋友，大多不是本地人，也没觉得啥,"{1, 3}",{3},set(),{3},set(),set(),{1}
82,？？？我广州话有乡音，我都系广州人，去祠堂都系讲乡音,{4},{4},{4},{4},set(),set(),{4}
83,上派生活也超级方便，家家公园房，买菜也比市里的菜好，商业也很发达，现在还通地铁了,{5},{5},{5},{5},{5},set(),set()
84,确实，小时候我们家住城南现在万象城那边他们都觉得瑞金路解放门好远了，就是城墙城南到城墙城东觉得好远啊那时候交通实在不便利,{1},set(),{1},{1},set(),set(),{1}
85,小时候不理解为什么老是说自己是老余杭的都是说去杭州玩，直到在杭州读大学被本地的几个人骂了一顿说我市区没房子不要说自己是杭州人之后我就有点理解了（当时只是报名后刚刚好一起去吃饭然后聊天聊起是那里人，我说我杭州的，然后细问知道我是余杭的后，就说我乡下人不要硬贴说自己是杭州人），只说自己杭州郊区或者直接说老余杭的,"{1, 6}","{1, 6}","{1, 6}","{1, 6}",set(),set(),"{1, 6}"
86,一直系屋企都讲，但自从两个仔上托儿所之后，他们就不讲白话了，宜家最多识听唔识讲，呢个现象我身边几个广州朋友都深受其害,{4},{4},{4},{4},set(),set(),{4}
87,在广州三代以内上就算真正广州人，二代以内是新广州人，一代开荒牛是广州移民，三代都不讲广州话的是外省广州人（祖宗是捞佬）来广州的。,"{3, 4}","{3, 4}","{3, 4}","{3, 4}",set(),set(),set()
88,祠堂有你的名字才算是广州人，不然不算，这是最基本的，跟你去陈家祠买不买门票没关系。你逻辑都搞不清楚,{3},{3},{3},{3},set(),set(),set()
89,那证明成都人的确不咋地，本来成都话口音离普通话语区就够偏了，很多怪音，他们还歧视本省的人，无语了都，儿化音就像大舌头一样，这是外地人评价的，为什么有些区县的来到成都要模仿他们的口音，本来就难听还要模仿是自己也不自信，大胆保持自己的地方本土特色有什么？,{4},{4},{4},{4},set(),set(),set()
90,我小时候一直在河南住，满口番禺顺德乡下口音，乡下仔来的,"{1, 4}","{1, 4}",{4},{4},set(),set(),{4}
91,以前交通不发达 所以才觉得城墙内才是主城区 比如过去的白下区的同学就很少去下关区 因为远,{1},{1},{1},{1},set(),set(),{1}
92,真唏嘘，当年我小学中学的班里分别有两个外省转学来的同学，刚来的时候很自然的他们一句粤语都不会，可是小学那个女生后来我中学去外面补习班偶尔遇上了，一口广州话真的完全听不出来她原来三四年级转学来的时候一颗粤语都不会说。另一位初中同班也同理，初二来的时候一丁丁点都不会，可是高三时候他广州话已经是没口音的流利了，看着现在这几个generation我真的挺不解的 另外，我在悉尼这边也认识超级多悉尼土生土长的abc说一口流利广州话你根本就不知道他/她是在澳洲出生长大的，反而广州本地的却变成这样,{4},{4},{4},{4},set(),set(),{4}
93,我是爷爷南下干部过来的，虽然白话习惯都一样，但内心里没有归属感,{3},{3},{3},{3},set(),set(),{3}
94,没事啦，反正法国人看东南亚人（对就是她口中的东盟商务区）都像在看自己的殖民地人群不知道在狂什么，真的好笑（哦我土生土长南宁人）,{3},{3},{3},{3},set(),set(),set()
95,因为对比很多省会长沙太小了，所以根植于心中远近的标准与其他城市不同。多年前，长沙周边还没开发的时候，武汉的亲戚第一次在长沙开车一不留神就出了长沙市。在我小时候的感知里面，最远的距离是从侯家塘到步行街。说不上不喜欢，第一次在河西住宿舍，路上车少人也少、周边还有小公园真的很好，但是离家太远了。ps去黄鹤楼玩，姐姐说她家就在黄鹤楼附近让我中午去吃饭，结果打车30块钱。我的附近是能双脚到达,{1},{1},{1},{1},set(),set(),{1}
96,我眼里面会讲白话就是广州人，我先生浙江人，大学系广州读，然后就系广州生活二十几年，一口标准白话。我地两个仔广州出世广州长大唔识讲白话，我觉得我先生已经系老广，两个仔是中国人,{4},{4},{4},{4},set(),set(),{4}
97,那你有没分红或者土地阿？,{6},{6},{6},{6},set(),set(),set()
98,我屋企坚持讲白话。虽然我个囡白话都唔多好，起码我哋坚持要距讲，无人迁就距，所以距一直都係同我哋用白话沟通。,{4},{4},{4},{4},set(),set(),{4}
99,反正我三环外的不是成都人,{1},{1},{1},{1},set(),set(),{1}
100,我崇州的嘛 我们身边的人被问到是哪里的 都直接说崇州 不会说是成都的从小到大耳濡目染的就是成都人都觉得三环以外的不算成都的,{1},{1},{1},{1},set(),set(),set()
101,其实没必要比，厦门本地人只要在厦门有房子很多都想要读完书回厦门工作的，厦门工资总体不高是因为底层人太多了，实际上厦门的国企包括公务员的工资平均都要比福州高很多。去其他地方读书包括香港也呆过几年，包括去世界各地旅游，真心觉得一个集中环境教育交通医疗都在线的城市厦门算是其中一个非常非常好的，尤其是环境，基本上很少看到都市圈环境能做到这样的，人其实也不算多，全国中等吧,"{5, 6, 7}","{5, 6}","{5, 6, 7}","{5, 6}",set(),set(),"{5, 6}"
102,范围大点只有天心区算城区，其他都是乡里别比如雨花区，我就住这，以前全是菜地，我老公土生土长的坡子街人，他说老城区只有坡子街那一块小破地，什么开福区雨花区都没人住的荒郊野地，更别说河西的岳麓区啊跳马啊望城了，那更加不算,"{1, 3}","{1, 3}",{1},{1},set(),set(),"{1, 3}"
103,我小时候 只有这个区域我们理解为厦门，其他我们称之为岛外。但随着现在资源拓宽厦门理解的更广了。,{1},{1},{1},{1},set(),set(),set()
104,有，比上海更甚，直接对你说你说的话（口音）他们听不懂，是哪个县份上的,{4},{4},{4},{4},set(),set(),{4}
105,我觉得哪个地方的土著都会多少有点优越感吧……毕竟是土生土长本地人 对吧,{3},{3},{3},{3},set(),set(),set()
106,从小土生土长，会说流利白话就算是，别人也分辨不出来的，我的就是很浓的白云某村口音白话,"{3, 4}","{3, 4}","{3, 4}","{3, 4}",set(),set(),set()
107,老北京话里的东富西贵指的是二环以里，没朝阳什么事。而且是真正的二环城圈儿里，就是地铁2号线以里。朝阳那时候还农村呢，压根不在这个老话指的范围内。,{1},{1},{1},{1},set(),set(),{1}
108,合肥的人口这几年聚集太多了，整体管理还是有很大脱节的，比如停车问题就很糟糕。而且本地人也不少的，但和深圳不一样，本地人很少吃到房价上涨带来的资产增加，跟外地人组成新合肥人相比，竞争力相对不足,{6},{6},{6},{6},set(),set(),set()
109,我在五一广场 有个同事不知道我们经理就是那个月亮岛那里的，然后他就说乡里别 然后我们经理就说那里已经属于是开发区了，不属于是乡里了，然后我同事还没理解意思，一直在吐槽那里不好不好，结果我们经理就背后面针对他，懂得都懂,"{1, 2}","{1, 2}",{2},"{1, 2}",set(),set(),{1}
110,土生土长,{3},{3},{3},{3},set(),set(),set()
111,小时候住南门口大一点住八角亭，正宗老城区长大的，老城区就是邻居都会比较熟络，现在回以前住的房子去看，那些邻居都会很热情的喊你，问一问家里人的情况。现在住梅溪湖，其实朋友聚会逛街还是喜欢去“城里”，居住的话也很喜欢梅溪湖，小区比较有活力，小孩上学方便，晚上湖边散步也很方便。,"{1, 3, 5, 6}","{1, 5, 6}","{1, 6}","{1, 6}",{3},set(),"{1, 3}"
112,出生在大坪医院 然后一直住谢家湾这边 我妈想卖房子搬家 我不愿意离开,{3},{3},{3},{3},set(),set(),set()
113,本土著去年底刚从市中心搬到天府新区 只能说三环内土著不歧视外地人但歧视三环外人,{1},{1},{1},{1},set(),set(),{1}
114,我没觉得喃，每次回去都觉得多亲切的，被烧的时候一点感觉都没有，我还是土生土长成都女娃儿，一点口音都没有，一样被烧,"{3, 4}","{3, 4}","{3, 4}","{3, 4}",set(),set(),"{3, 4}"
115,周边县就是不是哈尔滨呀，我爸老家就是宾县，没有人认为宾县=哈尔滨，在那住的也会区分，而且开车要出城，开高速才能到，都说来哈尔滨和回宾县。至于呼兰阿城双城，更不是一个地方了。小时候坐火车到呼兰要一个小时。我姥姥家行政上属于黑河下面的市，但是从来不会认为这是黑河的一部分，都是各叫各的，我也不认为我去过黑河。只有市区才算是这个市啊。,{1},{1},{1},{1},set(),set(),{1}
116,一开始论繁华便利市南是排不上的，后来市南拆迁改造之后就开始睥睨众生了，新建的配套什么的都比原先的好，就像现在的崂山一样,{5},{5},{5},{5},{5},set(),set()
117,广州本地人一般指老四区世居吧（老越秀、老荔湾、老东山、海珠）吧。因为好像我们这种，至少五代都在广州土生土长，有分红有地，最多都系叫广州客家人。,"{1, 3, 6}","{3, 6}","{1, 3}","{3, 6}","{1, 3, 6}",{3},"{3, 6}"
118,哈哈哈 我也是家里三代都在市区 对老南昌人来说市中心就是八一广场附近的商圈 我小时候念的育新嘛 就很夸张 说三十四年以前 二七北路都是郊区,"{1, 3}","{1, 3}","{1, 3}","{1, 3}",set(),set(),set()
119,有一说一之前去合肥，当地的阜阳口音是真的正宗啊,{4},{4},{4},{4},{4},set(),set()
120,我爷爷说护城河以里是济南，我姑姑嫁去全福都觉得是『闺女嫁外头去了』…80后（我）觉得市区还是二环里，下班回家觉得过来二环东才算进市区…当然了，东部发展的比其他地方都快，是二环南二环北二环西都比不上的，但内心还是觉得，那是『二环外』,{1},{1},{1},{1},set(),set(),set()
121,重要的不是几套房子 房子在哪，是不是老破小，重要是带不带口音口音改不到撒,{4},{4},{4},{4},set(),set(),set()
122,你牛我是庐阳区读书长大的，我觉得口音最容易分辨的 只要接触的人足够多。。进阶一点就是长相气质 不同地域人外貌特点差异很明显 我只能看出来南方人北方人 西南方和中部地区的差异，以前有个同事看人 能细分到周边两三个省份的程度,{4},{4},{4},{4},set(),set(),set()
123,我住德政中，无村无分红,{6},{6},{6},{6},set(),set(),set()
124,nono 我们建邺是乡下 进城要过河过桥进城墙的,{1},{1},{1},{1},set(),set(),{1}
125,不会说不算,{4},{4},set(),set(),set(),set(),set()
126,我闺蜜前年搬去了五象，每次在五象湖地铁站出口下车出来就感觉瞬间从城市到了荒郊野岭要走一大段路才有点生活气息，给我住我真不习惯,{5},{5},{5},{5},set(),set(),set()
127,肯定便利啊 仙林是宇宙的中心,"{1, 5}",{5},"{1, 5}",{5},{5},set(),{1}
128,"个人感觉目前济南市区的范围:
 东线: 凤凰路-凤凰北路（东边发展太快，二环东肯定打不住了）
 西线: 二环西高架（说纬十二-郎茂山路也可以）
 南线: 二环南高架（无任何争议）
 北线: 北园高架-工业北高架（无任何争议）
 欢迎理性讨论，拒绝无脑发言。该区域划分按照济南现有发展程度所制，无任何地域歧视","{1, 5}",{1},{1},{1},set(),set(),{1}
129,像我这种化龙桥曾经贫困一条街的拆迁户搬到沙坪坝了，都搬了20年了。我的童年和学生时代都在化龙桥呀,{3},{3},{3},{3},set(),set(),{3}
130,怎么说呢？成都人其实真的不排外，也不歧视，但是有一点就是他们爱喊三环外的弯脚杆，老一辈传下来的吧！因为三环外就变口音了，但是平时还是相处很好，有时候给朋友开玩笑也会说你个批弯弯叉河过来得 ，其实就是开玩笑没有歧视意思，现在年轻人还好，应该就是老一辈带下来的口头禅，我是这样理解的,"{1, 4, 7}","{1, 4}","{1, 4}","{1, 4}",set(),set(),"{1, 4}"
131,渝中区土著，大坪土生土长，现在住渝北,{3},{3},{3},{3},set(),set(),{3}
132,因为我们二环的一般没事不进城，就在我们这个偏僻的地方玩,{1},{1},{1},{1},set(),set(),{1}
133,老武汉人觉得很多地方都是乡里，多少年的印象，一下子改不了，我是青山区东北人后代，土生土长的，也被很多汉口人认为偏僻地方的人，我觉得周边的不算正宗武汉人，老观念没办法,"{1, 3}","{1, 3}","{1, 3}","{1, 3}",{3},set(),"{1, 3}"
134,我不内耗我也不觉得我们口音不好听，我只是觉得有些成都人笑别人很无语,{4},{4},set(),{4},set(),set(),set()
135,我住东二环 我爸妈住东四环 上班在西四环 我每天上班我感觉像出国 再赶上西四环交通管制 （海关排队,{1},{1},set(),{1},set(),set(),set()
136,正解，老辈区的概念不强的，因为那个时候变化太多，可能他经历了好几次行政区的划分调动，所以基本上本地人只会说自己待的这个地方的地名，比如凤山门望江门四牌楼庆春孩儿巷武林门半道红卖鱼桥古荡三里亭这种，也就是现在的街道（镇）、小区（村）的概念，只有对外地的朋友，他不清楚这些地方的所以才会用区来表述。,{1},{1},{1},{1},set(),set(),{1}
137,有分红，屋企有栋有红本子的楼,{6},{6},{6},{6},set(),set(),set()
138,哈哈，就是，而且我有个同事达州的，他说他的口音才是正宗成都话,{4},{4},{4},{4},set(),set(),set()
139,东城：东直门，雍和宫，朝外SOHO（？） 西城：安贞？安慧？蓟门桥？南礼士路 海淀：各大知名院校，如清华北大等，中关村，五道口，也是程序员聚集地 朝阳：京爷，四合院，城根底下，繁华都市 丰台：有点偏，外来打工人租房子或者住员工宿舍的地方，有些地方还没开发出来，稍微有点沧桑 石景山：不熟悉，也挺偏的，就知道个八角游乐园 门头沟：山里？挺偏的，那边的人挺横，打架不好欺负 房山：太偏了，总感觉快出北京了，那边房子相对较便宜,"{1, 5, 7}",{1},"{1, 5, 7}","{1, 7}",set(),set(),{1}
140,我西湖区三墩镇，我都说自己杭州乡下人……跟他们城里人讲的话不一样,"{1, 4}","{1, 4}","{1, 4}","{1, 4}",set(),set(),set()
141,市中心是八一广场那边 所谓的一环二环也是八一为中心往外扩散 说红谷滩的 真的笑死,{1},{1},{1},{1},set(),set(),{1}
142,口音是重庆城头口音，不能有区县口音,{4},{4},{4},{4},set(),set(),{4}
143,我也都江堰的，被别个说口音难听,{4},{4},{4},{4},set(),set(),{4}
144,成都人都很和蔼都不会歧视外地人，反而是外地人比较歧视和排挤成都人吧，出去上班熟都不熟就开始问你，你们屋头有几套房？你们屋头有几套房你还出来上班啊？还半工半读那么努力？何必把你们平时生活中的不如意归结在成都本地人身上，作为一个正常人，这样的提问方式请问礼貌吗？而且外地的都很有钱，能够买的起房，给得起彩礼，我们成都的有几个买的起房给得起彩礼嘛我们哪里敢有优越感，我二环的，我们去春熙路一般都说进城,"{1, 6}","{1, 6}",{1},"{1, 6}",set(),set(),"{1, 6}"
145,黄明他妈我见过，标准的市里人，不是胶州口音,{4},{4},{4},{4},set(),set(),set()
146,哪有那么多原因，就是习惯了啊，家在亲戚朋友也在，上班也在。另外，南到南二环是不可能的，顶多到劳动路。,"{1, 6}","{1, 6}","{1, 6}","{1, 6}",set(),set(),set()
147,可能外地人不希望自己孩子一口四川话吧 毕竟这口音真的好难听 还联姻都用上了,{4},{4},{4},{4},set(),set(),{4}
148,话说什么是土著，我认为从爷爷辈土生土长开始才算是土著，那些从外地拿到成都户口或者父母辈从外地来定居生下的娃娃，然后很骄傲的弯酸，这种不算，并且所谓的成都人假打90%以上都是这种人,{3},{3},{3},{3},set(),set(),{3}
149,现在从下半城搬到了“镇头”（龙溪镇），但是十八梯的老房子我老汉还在那里住。他们土生土长在那里住惯了。,{3},{3},{3},{3},set(),set(),set()
150,判断是否广州本地人，就一个标准，有分红有祠堂有地,"{3, 6}",{6},"{3, 6}",{6},set(),set(),set()
151,因为武汉平时只说汉口、武昌、汉阳三镇，区的话很多，比如汉口包含江汉、江岸、硚口、东西湖、等等等等区，在长江以北、汉水以北的地界都属于汉口。武汉是被长江和汉江分割成了3个部分，你说的那些区是行政区划，3镇才是地理说法，你口中的老武汉人没有说错,{1},{1},{1},{1},set(),set(),{1}
152,我是都江堰的，其他地方的我不敢说，但是我可是从小被成都口音嘲笑哦，我小时候去亲戚家耍过暑假，我说吃饭他们就笑我口音，现在去成都我都不敢开腔，有时候买东西都说普通话，经历过很多次被恶意学我说话,{4},{4},{4},{4},set(),{4},{4}
