row_index,comment_id,comment_type,text,golden,models_missing_label,models_with_label,num_models_missing_label,num_models_with_label,Qwen3-235B-A22B_few_shot_prediction,Qwen3-235B-A22B_few_shot_has_6,Qwen3-32B_no_cot_prediction,Qwen3-32B_no_cot_has_6,gemma-3-27b-it_zero_shot_prediction,gemma-3-27b-it_zero_shot_has_6,Qwen3-32B_few_shot_prediction,Qwen3-32B_few_shot_has_6,Qwen3-32B_zero_shot_prediction,Qwen3-32B_zero_shot_has_6,gemma-3-27b-it_no_cot_prediction,gemma-3-27b-it_no_cot_has_6,Qwen3-235B-A22B_zero_shot_prediction,Qwen3-235B-A22B_zero_shot_has_6,gemma-3-27b-it_few_shot_prediction,gemma-3-27b-it_few_shot_has_6,Qwen3-235B-A22B_no_cot_prediction,Qwen3-235B-A22B_no_cot_has_6
19,reply_chengdu_2_8_4,reply,我也想说，我那个农村老板在成都买房了，经常给我说我现在也是成都本地人了，创业初成功经常在那吹嘘自己🐮逼，神戳戳的，他不在别的同事面前说他是成都户口了因为其他人不是土著,26,"['Qwen3-32B_no_cot', 'Qwen3-235B-A22B_zero_shot']","['Qwen3-235B-A22B_few_shot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",2,7,"认同逻辑2, 认同逻辑6",True,认同逻辑2,False,"认同逻辑6, 认同逻辑5",True,"认同逻辑6, 认同逻辑2",True,"认同逻辑2, 认同逻辑3, 认同逻辑6",True,"认同逻辑3, 认同逻辑6",True,"认同逻辑2, 认同逻辑3, 认同逻辑5",False,"认同逻辑6, 认同逻辑3",True,"认同逻辑2, 认同逻辑3, 认同逻辑6",True
21,comment_chengdu_2_16,comment,并没有啊，成都有钱的又不一定是土著，绝大部分土著只是不愁房子住，另外有多余的房子可以出租出去，所以工资那么低很多人还是过得很开心月收入足够支撑不错的生活水平了。成都人天生一副你有钱那是你的事，我不去羡慕各过各的谁也不碍着谁所以大家才悠然自得，那些个有钱的区域又不属于是给土著的，多是外地赚了钱来成都消费或者安置的,46,['gemma-3-27b-it_zero_shot'],"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",1,8,认同逻辑6,True,认同逻辑6,True,,False,"认同逻辑6, 认同逻辑1",True,"认同逻辑3, 认同逻辑6",True,"认同逻辑6, 认同逻辑3",True,"认同逻辑1, 认同逻辑4, 认同逻辑5, 认同逻辑6",True,认同逻辑6,True,"认同逻辑3, 认同逻辑6, 认同逻辑1",True
42,comment_chengdu_2_137,comment,成都人都很和蔼都不会歧视外地人，反而是外地人比较歧视和排挤成都人吧，出去上班熟都不熟就开始问你，你们屋头有几套房？你们屋头有几套房你还出来上班啊？还半工半读那么努力？何必把你们平时生活中的不如意归结在成都本地人身上，作为一个正常人，这样的提问方式请问礼貌吗？而且外地的都很有钱，能够买的起房，给得起彩礼，我们成都的有几个买的起房给得起彩礼嘛我们哪里敢有优越感，我二环的，我们去春熙路一般都说进城,16,"['Qwen3-235B-A22B_few_shot', 'Qwen3-235B-A22B_zero_shot', 'Qwen3-235B-A22B_no_cot']","['Qwen3-32B_no_cot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'gemma-3-27b-it_few_shot']",3,6,认同逻辑1,False,"认同逻辑1, 认同逻辑6",True,"认同逻辑1, 认同逻辑6",True,"认同逻辑1, 认同逻辑6",True,"认同逻辑1, 认同逻辑6",True,"认同逻辑6, 认同逻辑2",True,认同逻辑1,False,"认同逻辑6, 认同逻辑1",True,"认同逻辑1, 认同逻辑3, 认同逻辑4",False
59,comment_chengdu_2_226,comment,没有什么优越感。土著，从长顺街出来的，从上班就开始羡慕当年周边的城乡结合部，有分红，有拆迁，有土地。到现在40+，就羡慕从农村来的，过年可以回乡下放火炮，杀猪，天然无污染环境。读以前的锦小时，很多同学都是军区后勤的家属，也羡慕啊，什么都有优待。反正，没有觉得土著有太多优越感，不过还是很怀念以前长顺上街，中街以及长发街附近的老邻居些。,16,['Qwen3-235B-A22B_no_cot'],"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot']",1,8,认同逻辑6,True,"认同逻辑3, 认同逻辑6",True,"认同逻辑6, 认同逻辑1",True,认同逻辑6,True,"认同逻辑6, 认同逻辑1",True,"认同逻辑6, 认同逻辑3",True,"认同逻辑3, 认同逻辑5, 认同逻辑6",True,"认同逻辑6, 认同逻辑1",True,认同逻辑3,False
61,comment_chengdu_2_241,comment,有歧视的老土著挺多的，尤其是住在那种老破小的中年和老年人当然肯定也有很友好的土著，但是那种谈到三环外的5句话就有弯脚杆的土著占比还是很多,167,"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",['Qwen3-32B_few_shot'],8,1,认同逻辑1,False,认同逻辑1,False,"认同逻辑1, 认同逻辑3",False,"认同逻辑1, 认同逻辑6",True,认同逻辑1,False,认同逻辑1,False,"认同逻辑1, 认同逻辑7",False,认同逻辑1,False,"认同逻辑1, 认同逻辑4",False
62,reply_chengdu_2_243_2,reply,好像！！？你说的有道理！！！不过成都土著没有拆迁户过的轻松就不明白这优越感哪里来的hhh,6,"['Qwen3-32B_no_cot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'Qwen3-235B-A22B_no_cot']","['Qwen3-235B-A22B_few_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot']",5,4,认同逻辑6,True,认同逻辑3,False,,False,,False,认同逻辑3,False,"认同逻辑1, 认同逻辑6",True,"认同逻辑3, 认同逻辑5, 认同逻辑6",True,认同逻辑6,True,认同逻辑3,False
66,comment_chengdu_2_272,comment,其实从小学到上班，身边就很多外地同学同事了。更不用说上班快十年，几家公司，只遇到过几个本地人。外地朋友些太多了哈，正常普通人没得啥子优越感的，大家都是打工人。但是有些拆迁户老嬢嬢是会有些优越感，让人觉得烦。外地朋友觉得不舒服可以不用理她们。还有结婚的问题，其他人我不晓得，但是我们这一批基本都是同学介绍的，所以大部分年纪都同年或者差不多，所以本地结婚的多。但是也有嫁到外地和取外地姑娘的同学，都是有的哈，不要说的那么笃定。,6,"['Qwen3-32B_no_cot', 'Qwen3-235B-A22B_no_cot']","['Qwen3-235B-A22B_few_shot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot']",2,7,认同逻辑6,True,认同逻辑1,False,"认同逻辑3, 认同逻辑6",True,认同逻辑6,True,认同逻辑6,True,"认同逻辑3, 认同逻辑6",True,"认同逻辑3, 认同逻辑6",True,认同逻辑6,True,认同逻辑3,False
70,comment_chengdu_2_308,comment,土著的优越感不在于房子，在与全家上数下数几代人都在一个地方，逢年过节大家庭聚会其乐融融，说着成都话聊着生活过往，文化认同一致，口味一致，大家族氛围很有趣。优越感在于对城市的了解，变迁了如指掌，从小长的的区域每条路都是记忆和故事。优越感在于一起长大的同学朋友三十年后还是在一起吃吃喝喝而不是各自纷飞鸟兽散。优越感在与成都是我们以及我们的祖辈的家，我们看它在生长，有好的也有不太好的，但是我们都热爱它。什么买了几个房子值多少钱，只有外地人才锱铢必较....因为成都人都有房子，不管好坏，住着舒服就好，没那么大物欲。,346,"['gemma-3-27b-it_zero_shot', 'gemma-3-27b-it_no_cot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']","['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'Qwen3-235B-A22B_zero_shot']",4,5,"认同逻辑1, 认同逻辑3, 认同逻辑4, 认同逻辑6",True,"认同逻辑3, 认同逻辑4, 认同逻辑1, 认同逻辑6",True,"认同逻辑3, 认同逻辑4, 认同逻辑1",False,"认同逻辑1, 认同逻辑3, 认同逻辑4, 认同逻辑6",True,"认同逻辑3, 认同逻辑4, 认同逻辑6",True,"认同逻辑3, 认同逻辑4",False,"认同逻辑1, 认同逻辑3, 认同逻辑4, 认同逻辑6",True,"认同逻辑3, 认同逻辑4, 认同逻辑1",False,"认同逻辑3, 认同逻辑4, 认同逻辑1",False
79,reply_chengdu_3_7_15,reply,有每平方米一万以下的 一二环 老小区00年那种,16,"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']","['gemma-3-27b-it_zero_shot', 'gemma-3-27b-it_no_cot']",7,2,,False,认同逻辑5,False,"认同逻辑3, 认同逻辑6",True,认同逻辑5,False,"认同逻辑1, 认同逻辑3",False,"认同逻辑5, 认同逻辑6",True,认同逻辑1,False,,False,认同逻辑5,False
91,reply_harbin1_1_103_20,reply,您大可不必费心向我论证哈尔滨市区的'高贵血统'。你们用口音腔调以及习惯当身份标尺，把市政惠民政策当作地域分界线，这种自诩优越的戏码实在令人莞尔。按这个逻辑，红肠是不是都得查查是不是县里生产的呀？要是县里生产的，那是不是都不能叫哈尔滨红肠？还有冰雪大世界售票规则不过是行政划分的产物，怎么就成了贵贱判书？作为大庆人，我们倒有个朴素的认知：五区四县同属一座城，油田子弟和湿地农家的孩子都在磕头机旁长大。这里的文明尺度从不丈量户口本上的地址——毕竟真正的体面，向来与敲键盘贬低他人的姿势成反比。,467,"['Qwen3-235B-A22B_few_shot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",['Qwen3-32B_no_cot'],8,1,,False,"认同逻辑1, 认同逻辑4, 认同逻辑6",True,"认同逻辑1, 认同逻辑2, 认同逻辑3",False,"认同逻辑2, 认同逻辑3, 认同逻辑4",False,认同逻辑3,False,"认同逻辑1, 认同逻辑2, 认同逻辑4",False,"认同逻辑1, 认同逻辑3",False,"认同逻辑1, 认同逻辑2, 认同逻辑4",False,"认同逻辑1, 认同逻辑2, 认同逻辑4",False
92,comment_harbin1_1_104,comment,一个哈尔滨还分起来是不是正不正宗的哈尔滨人了市里的房价也没比我周边县城贵多少什么时候贫富差距大到北上广那样再来分吧,16,"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'Qwen3-32B_few_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'Qwen3-235B-A22B_no_cot']","['gemma-3-27b-it_zero_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_few_shot']",6,3,认同逻辑1,False,认同逻辑5,False,"认同逻辑1, 认同逻辑6",True,,False,"认同逻辑5, 认同逻辑6",True,"认同逻辑1, 认同逻辑2",False,,False,认同逻辑6,True,认同逻辑5,False
108,comment_hefei1_1_34,comment,合肥的人口这几年聚集太多了，整体管理还是有很大脱节的，比如停车问题就很糟糕。而且本地人也不少的，但和深圳不一样，本地人很少吃到房价上涨带来的资产增加，跟外地人组成新合肥人相比，竞争力相对不足,6,"['Qwen3-32B_no_cot', 'Qwen3-235B-A22B_no_cot']","['Qwen3-235B-A22B_few_shot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot']",2,7,认同逻辑6,True,认同逻辑5,False,认同逻辑6,True,认同逻辑6,True,认同逻辑6,True,认同逻辑6,True,认同逻辑6,True,认同逻辑6,True,认同逻辑5,False
120,comment_hefei2_1_18,comment,首先看你怎么定义发展，1.政府意义上发生最好的肯定是包河区，一系列数字亮瞎眼；2.从产业就业角度，发展好的是高新区，平头百姓家靠个人努力能达到的高度；3.从个人体验上来说，感受发展最好的是政务区，相对比较新，配套也成熟，居住体验不错。4.从真正的功能体验上来说，外围的发展和我护城河内的老居民来说关系不大，顶级的教育质量、医疗配套、核心商业都有，房子要那么大干什么？舒服便捷第一位，送孩子上学步行；去省立安医不用一去就要花半天；晚上饿了下了楼走5分钟就有的烟火气；单位大院邻里的热火劲；父母年纪大了东西拿不动时都能碰到孩子发小搭把手的远亲不如近邻的熟人圈。,6,"['Qwen3-32B_no_cot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'Qwen3-235B-A22B_no_cot']","['Qwen3-235B-A22B_few_shot', 'gemma-3-27b-it_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot']",4,5,"认同逻辑1, 认同逻辑5, 认同逻辑6",True,认同逻辑5,False,"认同逻辑5, 认同逻辑6",True,认同逻辑5,False,"认同逻辑1, 认同逻辑2, 认同逻辑5, 认同逻辑7",False,"认同逻辑1, 认同逻辑5, 认同逻辑6",True,"认同逻辑5, 认同逻辑6",True,"认同逻辑5, 认同逻辑6",True,认同逻辑5,False
212,comment_qingdao_10,comment,我市南土生土长的，上学的时候去了烟台，大学毕业回家后，嫁了胶州小伙子，因为孩子上学所以我们就住胶州了，我家市区有七八套房子，胶州城阳也都有房子。我爸妈现在住崂山，我每次回家邻居都会说我终于从村里进城了，有一次遇到问我一句你在胶州是不是住不上有暖气的房子…呵呵有啥好说的呢，嘴长在别人身上爱说啥说啥呗。,136,['gemma-3-27b-it_zero_shot'],"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",1,8,"认同逻辑1, 认同逻辑3, 认同逻辑5, 认同逻辑6",True,"认同逻辑1, 认同逻辑3, 认同逻辑6",True,,False,"认同逻辑3, 认同逻辑6, 认同逻辑1, 认同逻辑5",True,"认同逻辑3, 认同逻辑5, 认同逻辑6",True,"认同逻辑6, 认同逻辑2",True,"认同逻辑3, 认同逻辑6, 认同逻辑1, 认同逻辑5",True,"认同逻辑3, 认同逻辑1, 认同逻辑5, 认同逻辑6",True,"认同逻辑3, 认同逻辑5, 认同逻辑6",True
281,comment_beijing3_1_194,comment,住在朝阳，社会关系大多在翠微周边，西边的确有点土，但那是低调，不低调也不敢啊！朝阳洋气不老少，但民营经济主导，总被西边看不起，这世界总会有你看不上我，我看不上你的事儿！,146,"['Qwen3-32B_no_cot', 'Qwen3-32B_zero_shot', 'Qwen3-235B-A22B_no_cot']","['Qwen3-235B-A22B_few_shot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_few_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot']",3,6,"认同逻辑1, 认同逻辑6, 认同逻辑7",True,认同逻辑1,False,"认同逻辑1, 认同逻辑6",True,"认同逻辑1, 认同逻辑6",True,认同逻辑1,False,"认同逻辑1, 认同逻辑6",True,认同逻辑6,True,"认同逻辑6, 认同逻辑1",True,"认同逻辑1, 认同逻辑5",False
282,comment_beijing3_1_196,comment,几代人都在海淀，时尚黑洞真不冤，很松弛但西城海淀的优质房产保值度高，朝阳很多盘跌的稀碎。虽然朝阳能买3.500平的明星小区，西城海淀也就只能买个改善盘大平层…,36,['Qwen3-32B_few_shot'],"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",1,8,"认同逻辑3, 认同逻辑6",True,"认同逻辑1, 认同逻辑5, 认同逻辑6",True,"认同逻辑3, 认同逻辑6, 认同逻辑5",True,"认同逻辑3, 认同逻辑5",False,"认同逻辑3, 认同逻辑5, 认同逻辑6",True,"认同逻辑3, 认同逻辑6",True,"认同逻辑1, 认同逻辑3, 认同逻辑6",True,"认同逻辑3, 认同逻辑6",True,"认同逻辑3, 认同逻辑1, 认同逻辑5, 认同逻辑6",True
